Contig	Assembly_with_MEGAHIT/fw0 Mean	Assembly_with_MEGAHIT/fw1 Mean
k141_61	84.75	65.36364
k141_10782	0	1.5265486
k141_62	10782.6455	16709.889
k141_63	62.426796	1009.19904
k141_8678	485.1314	2100.362
k141_64	0	2.319277
k141_66	17.085365	148.2317
k141_10783	2656.1343	1085.6138
k141_8679	1559.0134	1046.7377
k141_8680	108.68269	1159.9071
k141_10786	0	21.093525
k141_2176	4.558188	8.836936
k141_19390	278.50443	2160.8271
k141_68	0	3.7192461
k141_10789	175.41304	51.734783
k141_2177	128.94014	743.02466
k141_19391	0	3
k141_10791	89.552086	153.375
k141_2178	88.02143	698.3071
k141_19392	0	8.848102
k141_10792	0	0.84313726
k141_71	0	2.1923077
k141_2179	4.298913	136.02718
k141_10794	23.681416	118.92921
k141_19395	17.439394	303.0303
k141_72	11.466102	309.50424
k141_10795	26.248888	13.262222
k141_19397	0	3.1245675
k141_2181	8.32258	720.29724
k141_19398	25.492754	139.9855
k141_2182	0	5.9346404
k141_10797	1.4540817	57.64796
k141_19399	11.764398	382.32462
k141_10798	63.6	65.945946
k141_19400	70.69643	109.78571
k141_19401	1.6969697	217.56061
k141_10800	0.9064748	3.2877698
k141_10801	9.150944	117.66038
k141_10802	9	22
k141_19403	1.6649351	30.438961
k141_2183	525.5805	435.2197
k141_10803	0	6.4580154
k141_8681	0.018187067	79.90618
k141_19404	11.25	15.472222
k141_8684	14.563218	123.21839
k141_19405	0.58709675	14.470967
k141_10805	18.159483	85.31035
k141_4343	0	52.18034
k141_8686	27.183098	423.85916
k141_19407	0	3.9772727
k141_10808	8.388489	51.863308
k141_8689	0	20.9
k141_19409	20.296703	31.10989
k141_10809	0.578125	26.025
k141_10810	0.5163934	3.6516395
k141_4344	0.9490791	26.611052
k141_2184	5.3533587	9.092299
k141_10811	16.313334	292.82
k141_2185	0	7.736111
k141_8691	4.8996763	114.790726
k141_8692	4.7027025	122.25
k141_4345	2863.7727	2405.7278
k141_10812	0.47307286	3.0791974
k141_10813	0.7307692	5.1423078
k141_10815	0	6.6328125
k141_10816	10.197369	25.460526
k141_10817	61.869564	472.98914
k141_10818	4.5454545	92.51515
k141_10819	8.496622	143.64865
k141_10820	2.08365	1.1596959
k141_10821	4.009302	0.5860465
k141_10823	14.212121	39.113636
k141_8693	0	9.489902
k141_8694	45.524097	663.61444
k141_8696	4.825397	19.468254
k141_4346	38.706932	376.83914
k141_4347	8.416667	29.104166
k141_4349	0	3.814554
k141_2187	570.5737	0
k141_19412	741.24084	0.027562069
k141_19413	0	9.852596
k141_2188	28.152243	32.108974
k141_2189	0	4.9004526
k141_2190	32.349693	30.77914
k141_19414	12.993084	81.05533
k141_2191	73.839325	323.3425
k141_10825	57.510212	788.20966
k141_2192	22.89071	77.3224
k141_2193	48.195488	530.218
k141_19415	178.15121	1716
k141_2195	4.2150536	91.61559
k141_2196	6.739264	64.77608
k141_10826	109.33421	796.1579
k141_2197	0	3.351852
k141_10828	0.108208954	12.350746
k141_19416	353.28442	444.48703
k141_10829	0	24.597702
k141_19417	0.7567568	80.50676
k141_10830	0.35119048	4.428571
k141_2199	0	3.0478468
k141_10831	91.034485	256
k141_19420	52.104576	405.29413
k141_2200	3659.5264	5798.3457
k141_6462	5027.326	7906.7734
k141_10832	16.199171	377.26556
k141_10833	26.653543	393.8189
k141_6463	18.833334	51.651516
k141_10834	585.95734	584.8293
k141_2203	74.65987	190.45578
k141_10836	11.769737	42.973682
k141_10837	10.108696	530.2971
k141_2204	22.49846	200.28
k141_2206	137.44211	225.12631
k141_10839	40.113823	532.6504
k141_10840	75.93678	56.097702
k141_2207	294.48245	71.62281
k141_2208	1722.8105	1711.0527
k141_10841	0	2.9465241
k141_10842	17.97537	62.12808
k141_6464	3880.9116	6551.9844
k141_8697	985.2758	512.8651
k141_19422	333.37015	540.47345
k141_10844	6.2580647	10.387096
k141_6465	318.7087	717.9069
k141_10845	55.437958	747.4379
k141_19424	49.57865	116.32022
k141_6466	0	70.166664
k141_2210	980.89087	1002.72595
k141_2211	43.451923	219.98077
k141_19425	147.47122	1739.5468
k141_10846	7.0030723	70.731186
k141_19426	0	4
k141_10847	0.95604396	19.027473
k141_19427	21.728395	130.45062
k141_2212	3897.2312	6513.668
k141_2213	128.13197	137.06091
k141_10849	67.448715	328.97437
k141_10850	60.12	480.25143
k141_19429	125.106125	1558.3837
k141_10853	5.762431	62.09945
k141_19430	0	8.068421
k141_10854	53.092594	25.578703
k141_8698	6.049654	484.07816
k141_8699	0	2.4179895
k141_8700	341.94492	650.35815
k141_8702	20.544304	628.3038
k141_8705	179.91667	280.87878
k141_8707	21.51145	258.87024
k141_8708	2.7	168.2125
k141_15128	2790.407	2256.9915
k141_8709	0	5.425234
k141_8710	3337.081	2273.196
k141_2214	0.5712146	77.166885
k141_8711	0.91525424	30.62712
k141_15129	236.30525	924.862
k141_2215	0	3.3144655
k141_15130	824.5171	208.08546
k141_2216	0	21.463917
k141_15131	723.5954	70.32061
k141_2217	94.15343	394.51782
k141_8712	75.44681	1089.2853
k141_2218	436.39285	131.4881
k141_15132	39.931385	637.1361
k141_15133	2.6629214	55.11236
k141_15135	31.757576	254.18182
k141_15136	0	86.47525
k141_74	0.032819036	29.328941
k141_8713	4.2474394	360.43826
k141_75	12.2296295	546.45184
k141_2220	0.018091362	87.665764
k141_77	41.71795	28.25641
k141_2221	17.790697	70.88372
k141_79	31.76923	651.12823
k141_2222	42.635338	816.0902
k141_80	56.711113	238.7111
k141_2223	5.5067263	2.309417
k141_81	109.18269	904.07214
k141_82	11.871212	82.583336
k141_2224	17.238094	62.343536
k141_83	8.80303	340.93182
k141_2225	44.805557	110.69444
k141_84	14.636364	57.60606
k141_2226	3.4083827	7.6012897
k141_85	60.852737	419.48538
k141_2228	46.2807	160.4152
k141_19432	4.982006	119.46334
k141_86	0	2.1529746
k141_19433	21.84127	62.174603
k141_2230	0.9285714	4.2904763
k141_2231	31.012821	168.23077
k141_2233	114.274284	149.05714
k141_19436	213.45334	1083.9244
k141_8714	3633.5325	3800.0352
k141_19437	4.4181256	107.67817
k141_87	5001.0947	4897.982
k141_19438	3925.455	6535.743
k141_19441	57.19335	762.2326
k141_12966	0	49.93716
k141_12967	3.856383	97.59042
k141_12968	0	0.6835443
k141_2234	0	49.22761
k141_19442	13.815565	196.9451
k141_2235	0	6.6959066
k141_2236	0.8101266	13.974684
k141_8715	40.70231	186.48958
k141_2238	65.611115	139.12962
k141_8716	0	26.530613
k141_8717	3.357143	22.331633
k141_8718	34.5	104
k141_2240	54.560608	51.1532
k141_2241	26.850574	40.24138
k141_8721	1.5555556	35.47059
k141_8722	0.3478261	1.5403727
k141_19443	46.819008	530.5669
k141_19445	12.783089	56.411766
k141_19446	6.356828	211.09251
k141_2243	0	6.5242624
k141_88	4.8280745	7.6312466
k141_2244	60.21978	295.72528
k141_89	1.6742424	14.568182
k141_2245	1.4736842	558.86316
k141_19447	0	2.3836477
k141_19448	0	4.5353537
k141_2249	254.29411	241.78151
k141_19450	4144.1455	6815.9365
k141_19451	13.912663	491.68558
k141_19452	87.490906	170.83636
k141_2250	2.16	2.9696
k141_2252	0	76.366196
k141_19453	15.478261	207
k141_2253	10.732394	241.98592
k141_12969	7.223401	250.35191
k141_8723	0.98630905	29.417435
k141_12970	0	2.2348485
k141_12971	2.015625	24.309376
k141_12972	187.48193	0
k141_12973	0	3.017413
k141_12974	25.609524	267.05713
k141_12975	65.64417	0
k141_12976	580.037	0
k141_12977	1.90625	88.3125
k141_91	128.18384	173.73706
k141_12979	15.098592	333.69016
k141_92	1.5806452	20.524193
k141_12980	1.408	20
k141_12981	24.172186	180.33775
k141_12982	3.5649717	21.451977
k141_8724	0	38.371193
k141_95	1.1818959	9.538856
k141_96	9.767068	146.0241
k141_97	133.44699	391.9341
k141_8725	134.72829	243.57913
k141_8726	33.488636	485.88068
k141_98	28.762533	472.7863
k141_8727	66.757065	480.29944
k141_99	0	2.8328269
k141_100	11.984848	246.37122
k141_102	1	1.8902439
k141_103	0	0.8666667
k141_105	8.319588	34.371136
k141_106	26.213741	100.16794
k141_12984	199.27026	0
k141_107	878.6152	1135.104
k141_12985	1063.579	756.817
k141_110	0	6.1085973
k141_12986	23.038462	212.1827
k141_12987	103.86275	193.12091
k141_112	92.819725	164.10544
k141_12988	7.0666666	26.866667
k141_12989	34.55725	80.908394
k141_19454	3090.3376	1664.4747
k141_12990	10.790322	184.04033
k141_113	0	11.309941
k141_17229	0	46.345364
k141_116	20.744186	122.07752
k141_12991	177.48624	0
k141_118	485.23242	958.482
k141_19455	4.6319876	62.350155
k141_17230	17.5069	78.39837
k141_19457	3	3
k141_119	2906.7405	512.5191
k141_17232	93.800995	257.75125
k141_19458	1.9849247	12.356784
k141_120	8.805798	11.356522
k141_17233	5.5530305	39.5
k141_19459	0.13513513	1.2072072
k141_2254	0	23.695744
k141_19461	95.025	415.93124
k141_122	32.337822	189.26193
k141_123	1.7402598	18.818182
k141_17234	8694.451	13198.661
k141_2255	91.16912	835.14075
k141_17235	1514.6372	506.2549
k141_2257	27.695652	93.666664
k141_124	303.85208	651.6095
k141_2258	32.046513	88.85465
k141_125	43.18045	39.609024
k141_2259	0	9.08982
k141_126	84.81746	637.1905
k141_17239	31.761194	151.69154
k141_2260	138.22807	120.61404
k141_12993	4.0284424	119.85689
k141_2262	5.464286	62.49107
k141_127	0	3.3040154
k141_2263	2.7910447	0.92537314
k141_128	839.1616	371.22223
k141_2264	3889.3872	6051.3228
k141_17240	0.504788	71.779755
k141_130	54.64122	128.82443
k141_17241	0	7.780303
k141_2265	5.03913	88.14348
k141_17242	11.666667	161.63461
k141_17243	64.31373	512.46075
k141_2266	0	2.8038836
k141_17244	3	56.903847
k141_17245	1.8277777	15.75
k141_131	9704.698	15513.389
k141_17246	120.54852	798.42615
k141_133	331.90964	526.7229
k141_2267	262.65753	1153.4166
k141_2269	32.74074	436.22223
k141_17247	0.32349166	7.878049
k141_134	1.1159952	3.8693528
k141_17248	1.3703704	12.17037
k141_136	2.1136363	13.511364
k141_17251	62.706768	212.93233
k141_139	5.923077	130.42857
k141_17252	2.9636364	77.6
k141_17253	5.135135	12.648648
k141_17254	34.780144	287.922
k141_17255	129.90042	1042.8049
k141_12995	581.19653	0
k141_140	178.93262	0
k141_141	0	2.1182795
k141_15137	751.75903	0.006417304
k141_142	118.01471	802.7402
k141_15138	0.5263158	14.605263
k141_15139	6.029412	78.48529
k141_15140	8.298701	15.571428
k141_19462	1372.7102	1190.7827
k141_19463	8.884058	170.86232
k141_15141	4.3531156	55.151337
k141_19465	48.76543	289.38272
k141_15143	25.40575	380.65814
k141_12996	21.38395	177.3803
k141_15144	121.8797	74.51128
k141_12997	0.2616279	8.203488
k141_19466	77.27158	805.4113
k141_12998	37.250835	148.03345
k141_19468	1.5	16.91743
k141_143	1749.5325	288.82474
k141_19469	203.60104	0
k141_19470	74.08866	614.7856
k141_10855	4123.0103	6509.576
k141_19471	10.125	447.64642
k141_17256	0	26.936298
k141_19472	54.161827	95.33195
k141_10857	78.92445	778.15906
